group_by	group_level	n_cells	feature_id	feature_name	target_class	assay	feature	mean_CLR	mean_ADT_CLR	mean_HTO_CLR	status	message
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0043	mAOC-CD19	gene	ADT	mAOC-CD19	0	0	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	0.272546455381825	0.272546455381825	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	1.04875935662766	1.04875935662766	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	1.37708978663311	1.37708978663311	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	0.724000779472757	0.724000779472757	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	1.16756539333463	1.16756539333463	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	0.518849518510379	0.518849518510379	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	0.68772668335284	0.68772668335284	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	2.23986589228484	2.23986589228484	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0046	mAOC-CD4	gene	ADT	mAOC-CD4	1.41069471139761	1.41069471139761	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.0516757039968351	0.0516757039968351	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.00416785648882505	0.00416785648882505	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.00447520963701837	0.00447520963701837	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.00592560134551563	0.00592560134551563	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.0091896774231952	0.0091896774231952	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.00678533090966944	0.00678533090966944	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.0148528617769385	0.0148528617769385	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.00814334298301012	0.00814334298301012	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0158	mAOC-CD27	gene	ADT	mAOC-CD27	0.801182832683861	0.801182832683861	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0159	mAOC-CD28	gene	ADT	mAOC-CD28	0.12558717954346	0.12558717954346	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0159	mAOC-CD28	gene	ADT	mAOC-CD28	0.0314655767604982	0.0314655767604982	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0159	mAOC-CD28	gene	ADT	mAOC-CD28	0.00727356149288093	0.00727356149288093	NA	ok	
