group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.266651109324577	ok		0
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0186	mAOC-CD223	gene	RNA	LAG3	0.105576919754754	ok		0
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.0178773904073247	ok		0.00950056758421008
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.452031786063341	ok		0.351970000400491
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	1.40751010498484	ok		0.304174388673911
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.626759536522239	ok		0.489796453707128
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.542726619650636	ok		0.324358988908502
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	1.10517603251418	ok		0.323476819037123
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.941911902078262	ok		0.306686371406894
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.0339789540694419	ok		0.650136244116815
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC0297	mAOC-CD100	gene	RNA	SEMA4D	0.238549714110891	ok		0.103032848553228
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00710538138293779	ok		0
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00139788158991948	ok		0
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00254547921013304	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00263219160800674	ok		0
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00121591744720333	ok		0
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00193430536482546	ok		0.000915321035917819
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.00825633958335721	ok		0
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.0147275877539539	ok		0.0864336524623052
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC0301	mAOC-CD16	gene	RNA	FCGR3A	0.143989490517096	ok		0.156031964961208
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.0051967517675551	ok		0
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.0026130165150544	ok		0.00846908632917602
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.000445220351731573	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.00347857061151602	ok		0.000806156832932506
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.00229787475057115	ok		0.00239249221528613
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.00386326077930304	ok		0
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.0135752665050355	ok		0.00294627957535326
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC0303	mAOC-CD56	gene	RNA	NCAM1	0.00861925874463794	ok		0.0187652811347021
